Voltage (V),Ring Order,Inside Diameter (cm),Outside Diameter (cm),Inside Horizontal(cm),Outside Horizontal (cm),Filtering Voltage (A)
2900,1st Order,1.6,1.8,1.6,1.8,0.42
2900,2nd Order,2.7,2.9,2.7,2.9,0.42
3200,1st Order,1.4,1.6,1.3,1.5,0.42
3200,2nd Order,2.6,2.8,2.3,2.5,0.42
3500,1st Order,1.3,1.5,1.3,1.5,0.42
3500,2nd Order,2.4,2.6,2.3,2.5,0.42
3800,1st Order,1.3,1.5,1.2,1.4,0.42
3800,2nd Order,2.3,2.5,2.2,2.4,0.42
3900,1st Order,1.2,1.4,1.2,1.4,0.42
3900,2nd Order,2.3,2.5,2.2,2.4,0.42
4000,1st Order,1.3,1.5,1.2,1.4,0.42
4000,2nd Order,2.3,2.5,2.3,2.5,0.42
4100,1st Order,1.2,1.4,1.2,1.4,0.42
4100,2nd  Order,2.2,2.4,2.1,2.3,0.42
4300,1st Order,1.2,1.4,1.1,1.3,0.42
4300,2nd  Order,2.2,2.4,2.1,2.3,0.42
4600,1st Order,1.2,1.4,1.1,1.3,0.42
4600,2nd  Order,2.2,2.4,2.1,2.3,0.42
5000,1st Order,1.1,1.3,1.1,1.3,0.42
5000,2nd  Order,2,2.2,2,2.2,0.42
