Voltage (V),Ring Order,Inside Diameter (cm),Outside Diameter (cm),Inside Horizontal(cm),Outside Horizontal (cm),Filtering Voltage (A),lambda_nm,lambda_unc_nm,Radius_cm,Radius_unc_cm,theta_val_rad,theta_unc_rad
2900,2nd Order,2.7000e+00,2.9000e+00,2.7000e+00,2.9000e+00,4.2000e-01,2.2774e-02,3.9266e-04,1.4000e+00,5.7735e-02,2.4869e-02,1.1459e-03
3200,2nd Order,2.6000e+00,2.8000e+00,2.3000e+00,2.5000e+00,4.2000e-01,2.1680e-02,3.3876e-04,1.2750e+00,1.0408e-01,2.2669e-02,1.8975e-03
3500,2nd Order,2.4000e+00,2.6000e+00,2.3000e+00,2.5000e+00,4.2000e-01,2.0730e-02,2.9615e-04,1.2250e+00,6.4550e-02,2.1787e-02,1.2306e-03
3800,2nd Order,2.3000e+00,2.5000e+00,2.2000e+00,2.4000e+00,4.2000e-01,1.9895e-02,2.6178e-04,1.1750e+00,6.4550e-02,2.0905e-02,1.2246e-03
3900,2nd Order,2.3000e+00,2.5000e+00,2.2000e+00,2.4000e+00,4.2000e-01,1.9639e-02,2.5178e-04,1.1750e+00,6.4550e-02,2.0905e-02,1.2246e-03
4000,2nd Order,2.3000e+00,2.5000e+00,2.3000e+00,2.5000e+00,4.2000e-01,1.9391e-02,2.4239e-04,1.2000e+00,5.7735e-02,2.1346e-02,1.1168e-03
4100,2nd Order,2.2000e+00,2.4000e+00,2.1000e+00,2.3000e+00,4.2000e-01,1.9154e-02,2.3358e-04,1.1250e+00,6.4550e-02,2.0021e-02,1.2188e-03
4300,2nd Order,2.2000e+00,2.4000e+00,2.1000e+00,2.3000e+00,4.2000e-01,1.8703e-02,2.1747e-04,1.1250e+00,6.4550e-02,2.0021e-02,1.2188e-03
4600,2nd Order,2.2000e+00,2.4000e+00,2.1000e+00,2.3000e+00,4.2000e-01,1.8083e-02,1.9655e-04,1.1250e+00,6.4550e-02,2.0021e-02,1.2188e-03
5000,2nd Order,2.0000e+00,2.2000e+00,2.0000e+00,2.2000e+00,4.2000e-01,1.7344e-02,1.7344e-04,1.0500e+00,5.7735e-02,1.8695e-02,1.0975e-03
