Crystal angle	Rate at 21kV
theta/	R(21kV)/Imp/s

3,0	132,0
3,1	130,0
3,2	100,0
3,3	70,0
3,4	49,0
3,5	26,0
3,6	19,0
3,7	6,0
3,8	6,0
3,9	5,0
4,0	7,0
4,1	5,0
4,2	5,0
4,3	4,0
4,4	6,0
4,5	5,0
4,6	5,0
4,7	4,0
4,8	6,0
4,9	4,0
5,0	4,0
5,1	5,0
5,2	3,0
5,3	3,0
5,4	3,0
5,5	4,0
5,6	3,0
5,7	3,0
5,8	2,0
5,9	2,0
6,0	3,0
6,1	4,0
6,2	3,0
6,3	9,0
6,4	12,0
6,5	13,0
6,6	19,0
6,7	22,0
6,8	27,0
6,9	32,0
7,0	35,0
7,1	35,0
7,2	42,0
7,3	47,0
7,4	52,0
7,5	52,0
7,6	58,0
7,7	61,0
7,8	59,0
7,9	61,0
8,0	68,0
8,1	68,0
8,2	75,0
8,3	77,0
8,4	74,0
8,5	80,0
8,6	82,0
8,7	76,0
8,8	86,0
8,9	82,0
9,0	87,0
9,1	81,0
9,2	83,0
9,3	92,0
9,4	91,0
9,5	97,0
9,6	90,0
9,7	87,0
9,8	84,0
9,9	86,0
10,0	79,0
10,1	83,0
10,2	70,0
10,3	82,0
10,4	84,0
10,5	82,0
10,6	80,0
10,7	75,0
10,8	80,0
10,9	77,0
11,0	78,0
11,1	80,0
11,2	77,0
11,3	76,0
11,4	75,0
11,5	74,0
11,6	70,0
11,7	70,0
11,8	71,0
11,9	74,0
12,0	70,0
12,1	76,0
12,2	64,0
12,3	63,0
12,4	66,0
12,5	67,0
12,6	59,0
12,7	64,0
12,8	66,0
12,9	56,0
13,0	66,0
13,1	70,0
13,2	57,0
